SN	DISTRICT	DIVISION	WARD	VILLAGE	MITAA	Fname	FTYPE	OWNER	PLACE	OWNER2
4496	Sumbawanga MC	Itwelele	Mollo	Mawenzusi		Mawenzusi	Dis	LGA	Urban	Public
4497	Sumbawanga MC	Itwelele	Ntendo	Ntendo		Ntendo	Dis	LGA	Urban	Public
4498	Sumbawanga MC	Itwelele	Ntendo	Luwa		Luwa	Dis	LGA	Urban	Public
4499	Sumbawanga MC	Itwelele	Ntendo	Kanondo		Kanondo	Dis	TASAF	Urban	Public
4500	Sumbawanga MC	Itwelele	Ntendo	Fyengelezya		Fyengelezya	Dis	TASAF	Urban	Public
4501	Sumbawanga DC	Laela	Laela	Kisalala		Kisalala	Dis	LGA	Rural	Public
4502	Sumbawanga DC	Laela	Laela	Mititi		Mititi	Dis	LGA	Rural	Public
4503	Sumbawanga DC	Laela	Laela	Mnokola		Mnokola	Dis	LGA	Rural	Public
4504	Sumbawanga DC	Laela	Laela	Laela A		Laela	HC	LGA	Rural	Public
4507	Sumbawanga DC	Laela	Miangalua	Kavifuti		Kavifuti	Dis	LGA	Rural	Public
4508	Sumbawanga DC	Laela	Miangalua	Miangalua		Miangalua	Dis	LGA	Rural	Public
4510	Sumbawanga DC	Laela	Miangalua	Movu		Movu	Dis	TASAF	Rural	Public
4511	Sumbawanga DC	Laela	Miangalua	Tunko		Tunko	Dis	LGA	Rural	Public
4512	Sumbawanga DC	Laela	Lusaka	Kamnyazya		Kamnyazya	Dis	LGA	Rural	Public
4514	Sumbawanga DC	Laela	Lusaka	Lowe		Lowe	Dis	LGA	Rural	Public
4515	Sumbawanga DC	Laela	Lusaka	Lusaka		Lusaka	Dis	LGA	Rural	Public
4517	Sumbawanga DC	Mpui	Mpui	Ilembo		Ilembo	Dis	LGA	Rural	Public
4518	Sumbawanga DC	Mpui	Mpui	Mkima		Mkima	Dis	LGA	Rural	Public
4520	Sumbawanga DC	Mpui	Mpui	Mpui		Mpui	HC	LGA	Rural	Public
4523	Sumbawanga DC	Mpui	Kalambazite	Ikozi		Ikozi	Dis	LGA	Rural	Public
4524	Sumbawanga DC	Mpui	Kalambazite	Kalambazite		Kalambazite	Dis	LGA	Rural	Public
4525	Sumbawanga DC	Mpui	Kalambazite	Kilembo		Kilembo	Dis	LGA	Rural	Public
4526	Sumbawanga DC	Mpui	Kalambazite	Tentula		Tentula	Dis	LGA	Rural	Public
4528	Sumbawanga DC	Mpui	Kalambazite	Mshani		Mshani	Dis	LGA	Rural	Public
4529	Sumbawanga DC	Mpui	Sandulula	Kalole		Kalole	Dis	LGA	Rural	Public
4530	Sumbawanga DC	Mpui	Sandulula	Malolwa		Malolwa	Dis	LGA	Rural	Public
4531	Sumbawanga DC	Mpui	Sandulula	Msandamuungano		Msandamuungano	HC	LGA	Rural	Public
4532	Sumbawanga DC	Mpui	Sandulula	Songambeleazimio		Songambele Azimio	Dis	LGA	Rural	Public
4533	Sumbawanga DC	Mpui	Sandulula	Sandulula		Sandulula	Dis	LGA	Rural	Public
4535	Sumbawanga DC	Mpui	Sandulula	Mpwapwa		Mpwapwa	Dis	LGA	Rural	Public
4536	Sumbawanga DC	Mpui	Sandulula	Mumba		Mumba	HC	Religious	Rural	Fbo
4538	Sumbawanga DC	Matai	Matai	Kalalasi		Kalalasi	Dis	LGA	Rural	Public
4539	Sumbawanga DC	Matai	Matai	Kisungamile		Kisungamile	Dis	LGA	Rural	Public
4540	Sumbawanga DC	Matai	Matai	Kizombwe		Kizombwe	Dis	LGA	Rural	Public
4541	Sumbawanga DC	Matai	Matai	Matai (va)		Matai	Dis	Roman Catholic	Rural	Fbo
4542	Sumbawanga DC	Matai	Matai	Mbuza		Mbuza	Dis	LGA	Rural	Public
4543	Sumbawanga DC	Matai	Matai	Matai A		Matai A	HC	LGA	Rural	Public
4544	Sumbawanga DC	Matai	Matai	Mikonko		Mikonko	Dis	LGA	Rural	Public
4545	Sumbawanga DC	Matai	Matai	Myunga		Myunga	Dis	LGA	Rural	Public
4546	Sumbawanga DC	Matai	Matai	Singiwe		Singiwe	Dis	LGA	Rural	Public
4547	Sumbawanga DC	Matai	Mkowe	Katapulo		Katapulo	Dis	LGA	Rural	Public
4548	Sumbawanga DC	Matai	Mkowe	Mkowe		Mkowe	Dis	LGA	Rural	Public
4551	Sumbawanga DC	Matai	Msanzi	Katuka		Katuka	Dis	LGA	Rural	Public
4552	Sumbawanga DC	Matai	Msanzi	Mao		Mao	Dis	LGA	Rural	Public
4553	Sumbawanga DC	Matai	Msanzi	Mbuluma		Mbuluma	Dis	LGA	Rural	Public
4554	Sumbawanga DC	Matai	Msanzi	Msanzi		Msanzi	Dis	LGA	Rural	Public
4556	Sumbawanga DC	Matai	Sopa	Ilambila		Ilambila	Dis	LGA	Rural	Public
4557	Sumbawanga DC	Matai	Sopa	Kalaela		Kalaela	Dis	LGA	Rural	Public
4558	Sumbawanga DC	Matai	Sopa	Kasitu		Kasitu	Dis	LGA	Rural	Public
4559	Sumbawanga DC	Matai	Sopa	Mtutumbe		Mtutumbe	Dis	LGA	Rural	Public
4560	Sumbawanga DC	Matai	Sopa	Sopa		Sopa	HC	LGA	Rural	Public
4561	Sumbawanga DC	Matai	Sopa	Kamawe		Kamawe	Dis	LGA	Rural	Public
4562	Sumbawanga DC	Matai	Katete	Katete		Katete	Dis	LGA	Rural	Public
4566	Sumbawanga DC	Matai	Katete	Tatanda		Tatanda	Dis	LGA	Rural	Public
4567	Sumbawanga DC	Mwimbi	Legezamwendo	Mkombo		Mkombo	Dis	LGA	Rural	Public
4570	Sumbawanga DC	Mwimbi	Legezamwendo	Legezamwendo		Legezamwendo	Dis	LGA	Rural	Public
4571	Sumbawanga DC	Mwimbi	Mambwekenya	Mambwekenya		Mambwekenya	Dis	LGA	Rural	Public
4572	Sumbawanga DC	Mwimbi	Mambwekenya	Madibira		Madibira	Dis	LGA	Rural	Public
4573	Sumbawanga DC	Mwimbi	Mambwekenya	Mpanga		Mpanga	Dis	LGA	Rural	Public
4576	Sumbawanga DC	Mwimbi	Mambwenkoswe	Kasusu		Kasusu	Dis	Seventh Day Adventists	Rural	Fbo
4577	Sumbawanga DC	Mwimbi	Mambwenkoswe	Kalembe		Mambwenkoswe	Dis	LGA	Rural	Public
4581	Sumbawanga DC	Mwimbi	Mwimbi	Mtula		Mtula	Dis	LGA	Rural	Public
4584	Sumbawanga DC	Mwimbi	Mwimbi	Mwimbi		Mwimbi	HC	LGA	Rural	Public
4585	Sumbawanga DC	Mwimbi	Mwimbi	Kantalemwa		Kantalemwa	Dis	LGA	Rural	Public
4589	Sumbawanga DC	Mwimbi	Ulumi	Chipapa Va		Chipapa	Dis	Roman Catholic	Rural	Fbo
4590	Sumbawanga DC	Mwimbi	Ulumi	Luse		Luse	Dis	LGA	Rural	Public
4591	Sumbawanga DC	Mwimbi	Ulumi	Kalepula		Kalepula	Dis	LGA	Rural	Public
4592	Sumbawanga DC	Mwimbi	Ulumi	Ulumi		Ulumi	Dis	LGA	Rural	Public
4593	Sumbawanga DC	Mwimbi	Ulumi	Ulumi		Ulumi	Dis	Roman Catholic	Rural	Fbo
4594	Sumbawanga DC	Mwimbi	Mwazye	Kambo		Kambo	Dis	LGA	Rural	Public
4595	Sumbawanga DC	Mwimbi	Mwazye	Kilesha		Kilesha	Dis	LGA	Rural	Public
4596	Sumbawanga DC	Mwimbi	Mwazye	Mwazye		Mwazye	Dis	LGA	Rural	Public
4597	Sumbawanga DC	Mwimbi	Mwazye	Mwazye		Mwazye	Dis	Roman Catholic	Rural	Fbo
4598	Sumbawanga DC	Mwimbi	Mwazye	Ilango		Ilango	Dis	LGA	Rural	Public
4604	Sumbawanga DC	Mwimbi	Katazi	Kanyezi		Kanyezi	Dis	LGA	Rural	Public
4605	Sumbawanga DC	Mwimbi	Katazi	Katazi		Katazi	Dis	LGA	Rural	Public
4606	Sumbawanga DC	Mwimbi	Katazi	Ninga		Ninga	Dis	LGA	Rural	Public
4610	Sumbawanga DC	Mwimbi	Kaengesa	Itela		Itela	Dis	LGA	Rural	Public
4611	Sumbawanga DC	Mwimbi	Kaengesa	Katonto		Katonto	Dis	LGA	Rural	Public
4612	Sumbawanga DC	Mwimbi	Kaengesa	Lyapona		Lyapona	Dis	LGA	Rural	Public
4613	Sumbawanga DC	Mwimbi	Kaengesa	Mkunda		Mkunda	Dis	LGA	Rural	Public
4614	Sumbawanga DC	Mwimbi	Kaengesa	Kaengesa		Kaengesa	HC	Roman Catholic	Rural	Fbo
4616	Sumbawanga DC	Mwimbi	Kaengesa	Kitete		Kitete	Dis	LGA	Rural	Public
4617	Sumbawanga DC	Mwimbi	Kaengesa	Kianda		Kianda	Dis	LGA	Rural	Public
4618	Sumbawanga DC	Mwimbi	Kaengesa	Lula		Lula	Dis	LGA	Rural	Public
4619	Sumbawanga DC	Kipeta	Kipeta	Kilangawana		Kilangawana	Dis	LGA	Rural	Public
4620	Sumbawanga DC	Kipeta	Kipeta	Kipeta		Kipeta	Dis	LGA	Rural	Public
4622	Sumbawanga DC	Kipeta	Kipeta	Kilando		Kilando	Dis	LGA	Rural	Public
4626	Sumbawanga DC	Kipeta	Ilemba	Ilemba		Ilemba	Dis	LGA	Rural	Public
4627	Sumbawanga DC	Kipeta	Ilemba	Sakalilo		Sakalilo	Dis	LGA	Rural	Public
4628	Sumbawanga DC	Kipeta	Ilemba	Solola		Solola	Dis	LGA	Rural	Public
4629	Sumbawanga DC	Kipeta	Ilemba	Nankanga		Nankanga	Dis	LGA	Rural	Public
4630	Sumbawanga DC	Kipeta	Milepa	Kinambo		Kinambo	Dis	LGA	Rural	Public
4631	Sumbawanga DC	Kipeta	Milepa	Kisa		Kisa	Dis	LGA	Rural	Public
4632	Sumbawanga DC	Kipeta	Milepa	Milepa		Milepa	HC	LGA	Rural	Public
4633	Sumbawanga DC	Kipeta	Milepa	Msia		Msia	Dis	LGA	Rural	Public
4634	Sumbawanga DC	Kipeta	Kaoze	Chombe		Chombe	Dis	LGA	Rural	Public
4635	Sumbawanga DC	Kipeta	Kaoze	Kaoze		Kaoze	Dis	LGA	Rural	Public
4636	Sumbawanga DC	Kipeta	Kaoze	Kianda Igonda		Kianda Igonda	Dis	LGA	Rural	Public
4637	Sumbawanga DC	Kipeta	Kaoze	Mkusi		Mkusi	Dis	LGA	Rural	Public
4643	Sumbawanga DC	Mtowisa	Mtowisa	Mkamba		Mkamba	Dis	LGA	Rural	Public
4644	Sumbawanga DC	Mtowisa	Mtowisa	Mtowisa		Mtowisa	HC	LGA	Rural	Public
4645	Sumbawanga DC	Mtowisa	Mtowisa	Mkale		Mkale	Dis	Private	Rural	Private
4648	Sumbawanga DC	Mtowisa	Muze	Kizungu		Kizungu	Dis	TASAF	Rural	Public
4649	Sumbawanga DC	Mtowisa	Muze	Muze		Muze	Dis	BAKWATA	Rural	Private
4650	Sumbawanga DC	Mtowisa	Muze	Muze		Muze	Dis	LGA	Rural	Public
4654	Sumbawanga DC	Mtowisa	Muze	Uzia		Uzia	Dis	LGA	Rural	Public
4655	Sumbawanga DC	Mtowisa	Mfinga	Kalumbaleza		Kalumbaleza	Dis	LGA	Rural	Public
4656	Sumbawanga DC	Mtowisa	Mfinga	Mkwilo		Mkwilo	Dis	LGA	Rural	Public
4657	Sumbawanga DC	Mtowisa	Mfinga	Mpete		Mpete	Dis	LGA	Rural	Public
4659	Sumbawanga DC	Mtowisa	Mfinga	Mfinga		Mfinga	Dis	LGA	Rural	Public
4660	Sumbawanga DC	Mtowisa	Mfinga	Kasekela		Kasekela	Dis	LGA	Rural	Public
4661	Sumbawanga DC	Kasanga	Kasanga	Kapele		Kapele	Dis	LGA	Rural	Public
4662	Sumbawanga DC	Kasanga	Kasanga	Kasanga		Kasanga	Dis	LGA	Rural	Public
4663	Sumbawanga DC	Kasanga	Kasanga	Kipanga		Kipanga	Dis	LGA	Rural	Public
4664	Sumbawanga DC	Kasanga	Kasanga	Samazi		Samazi	Dis	LGA	Rural	Public
4666	Sumbawanga DC	Kasanga	Kasanga	Kilewani		Kilewani	Dis	LGA	Rural	Public
4668	Sumbawanga DC	Kasanga	Kisumba/kasote	Ngorotwa		Ngorotwa	HC	LGA	Rural	Public
4669	Sumbawanga DC	Kasanga	Kisumba/kasote	Kafukoka		Kafukoka	Dis	LGA	Rural	Public
4670	Sumbawanga DC	Kasanga	Kisumba	Kisumba Kasote		Kisumba Kasote	Dis	LGA	Rural	Public
4671	Sumbawanga DC	Kasanga	Kisumba	Mpombwe		Mpombwe	Dis	LGA	Rural	Public
4672	Sumbawanga DC	Kasanga	Kisumba	Kapozwa		Kapozwa	Dis	LGA	Rural	Public
4673	Mtwara DC	Dihimba	Dihimba	Dihimba		Dihimba	Dis	LGA	Rural	Public
4677	Mtwara DC	Dihimba	Dihimba	Muungano		Muungano	Dis	LGA	Rural	Public
4680	Mtwara DC	Dihimba	Mnima	Lipwidi		Lipwidi	Dis	LGA	Rural	Public
4681	Mtwara DC	Dihimba	Mnima	Mango Pachanne		Mangopachanne	Dis	LGA	Rural	Public
4682	Mtwara DC	Dihimba	Mnima	Mkutimango		Mkutimango	Dis	LGA	Rural	Public
4683	Mtwara DC	Dihimba	Mnima	Mnima		Mnima	Dis	LGA	Rural	Public
4687	Mtwara DC	Kitaya	Chawi	Chawi		Chawi	Dis	LGA	Rural	Public
4692	Mtwara DC	Kitaya	Kiromba	Kiromba		Kiromba Juu	Dis	LGA	Rural	Public
4698	Mtwara DC	Kitaya	Kitaya	Kitaya		Kitaya	Dis	LGA	Rural	Public
4707	Mtwara DC	Kitaya	Mahurunga	Mahurunga		Mahurunga	HC	LGA	Rural	Public
4709	Mtwara DC	Kitaya	Mahurunga	Tangazo		Tangazo	Dis	LGA	Rural	Public
4710	Mtwara DC	Mayanga	Mayanga	Kawawa		Kawawa	Dis	LGA	Rural	Public
4712	Mtwara DC	Mayanga	Mayanga	Mkunwa		Mkunwa	Dis	LGA	Rural	Public
4714	Mtwara DC	Mayanga	Naumbu	Imekuwa		Imekuwa	Dis		Rural	TBD
4715	Mtwara DC	Mayanga	Naumbu	Mgao		Mgao	Dis	LGA	Rural	Public
4716	Mtwara DC	Mayanga	Naumbu	Namgogoli		Namgogoli	Dis	LGA	Rural	Public
4717	Mtwara DC	Mayanga	Naumbu	Naumbu		Naumbu	Dis	LGA	Rural	Public
4720	Mtwara DC	Mparura	Kitere	Kitere		Kitere	HC	LGA	Rural	Public
4721	Mtwara DC	Mparura	Kitere	Libobe		Libobe	Dis	LGA	Rural	Public
4729	Mtwara DC	Mparura	Ndumbwe	Mpapura		Mpapura	Dis	LGA	Rural	Public
4737	Mtwara DC	Nanyamba	Mtiniko	Mtimbwilimbwi		Mtimbwilimbwi	Dis	LGA	Rural	Public
4738	Mtwara DC	Nanyamba	Mtiniko	Mtiniko		Mtiniko	Dis	LGA	Rural	Public
4739	Mtwara DC	Nanyamba	Mtiniko	Mtopwa				LGA	Rural	Public
4740	Mtwara DC	Nanyamba	Mtiniko	Namisangi		Namisangi	Dis	LGA	Rural	Public
4741	Mtwara DC	Nanyamba	Mtiniko	Nanjedya				LGA	Rural	Public
4742	Mtwara DC	Nanyamba	Mtiniko	Shaba				LGA	Rural	Public
4743	Mtwara DC	Nanyamba	Namtumbuka	Kiwengulo				LGA	Rural	Public
4744	Mtwara DC	Nanyamba	Namtumbuka	Milango Minne				LGA	Rural	Public
4745	Mtwara DC	Nanyamba	Namtumbuka	Mnongodi		Mnongodi	Dis	LGA	Rural	Public
4746	Mtwara DC	Nanyamba	Namtumbuka	Mnyai				LGA	Rural	Public
4747	Mtwara DC	Nanyamba	Namtumbuka	Mnyawi		Mnyawi	Dis	LGA	Rural	Public
4748	Mtwara DC	Nanyamba	Namtumbuka	Namtumbuka		Namtumbuka	Dis	Roman Catholic	Rural	Fbo
4749	Mtwara DC	Nanyamba	Nanyamba	Chikwaya				LGA	Rural	Public
4750	Mtwara DC	Nanyamba	Nanyamba	Dinyecha				LGA	Rural	Public
4751	Mtwara DC	Nanyamba	Nanyamba	Jide				LGA	Rural	Public
4752	Mtwara DC	Nanyamba	Nanyamba	Madina				LGA	Rural	Public
4753	Mtwara DC	Nanyamba	Nanyamba	Mbembaleo		Mbembaleo	Dis	LGA	Rural	Public
4754	Mtwara DC	Nanyamba	Nanyamba	Mibobo				LGA	Rural	Public
4755	Mtwara DC	Nanyamba	Nanyamba	Misufini				LGA	Rural	Public
4756	Mtwara DC	Nanyamba	Nanyamba	Mwanganga				LGA	Rural	Public
4757	Mtwara DC	Nanyamba	Nanyamba	Namayanda				LGA	Rural	Public
4758	Mtwara DC	Nanyamba	Nanyamba	Namkuku				LGA	Rural	Public
4759	Mtwara DC	Nanyamba	Nanyamba	Nanyamba		Nanyamba	HC		Rural	TBD
4760	Mtwara DC	Nanyamba	Nanyamba	Shangani				LGA	Rural	Public
4761	Mtwara DC	Nanyamba	Nitekela	Kitama Bondeni		Kitama Bondeni	Dis		Rural	TBD
4762	Mtwara DC	Nanyamba	Nitekela	Migombani				LGA	Rural	Public
4763	Mtwara DC	Nanyamba	Nitekela	Nitekela		Nitekela	Dis	LGA	Rural	Public
4764	Mtwara DC	Nanyamba	Nitekela	Niyumba				LGA	Rural	Public
4765	Mtwara DC	Nanyamba	Nitekela	Nyundo		Nyundo	Dis	LGA	Rural	Public
4766	Mtwara DC	Nanyamba	Njengwa	Chiwindi				LGA	Rural	Public
4767	Mtwara DC	Nanyamba	Njengwa	Hinju		Hinju	Dis	LGA	Rural	Public
4768	Mtwara DC	Nanyamba	Njengwa	Nangawanga				LGA	Rural	Public
4769	Mtwara DC	Nanyamba	Njengwa	Narunga				LGA	Rural	Public
4770	Mtwara DC	Nanyamba	Njengwa	Njengwa		Njengwa	Dis	LGA	Rural	Public
4771	Mtwara DC	Ziwani	Madimba	Litembe				LGA	Rural	Public
4772	Mtwara DC	Ziwani	Madimba	Madimba		Madimba	Dis	LGA	Rural	Public
4773	Mtwara DC	Ziwani	Madimba	Mitambo				LGA	Rural	Public
4774	Mtwara DC	Ziwani	Madimba	Mngoji				LGA	Rural	Public
4775	Mtwara DC	Ziwani	Madimba	Msimbati		Msimbati	Dis	LGA	Rural	Public
4776	Mtwara DC	Ziwani	Madimba	Msimbati Kisiwani				LGA	Rural	Public
4777	Mtwara DC	Ziwani	Madimba	Msimbati/ Lihumbo				LGA	Rural	Public
4778	Mtwara DC	Ziwani	Madimba	Msimbati/ Majengo				LGA	Rural	Public
4779	Mtwara DC	Ziwani	Madimba	Msimbati/ Ruvula				LGA	Rural	Public
4780	Mtwara DC	Ziwani	Madimba	Msimbati/ Sokoni				LGA	Rural	Public
4781	Mtwara DC	Ziwani	Madimba	Msimbati/ Yao				LGA	Rural	Public
4782	Mtwara DC	Ziwani	Madimba	Mtendachi				LGA	Rural	Public
4783	Mtwara DC	Ziwani	Nanguruwe	Makome				LGA	Rural	Public
4784	Mtwara DC	Ziwani	Nanguruwe	Mbawala		Mbawala	Dis	LGA	Rural	Public
4785	Mtwara DC	Ziwani	Nanguruwe	Mduwi				LGA	Rural	Public
4786	Mtwara DC	Ziwani	Nanguruwe	Nachenjele				LGA	Rural	Public
4787	Mtwara DC	Ziwani	Nanguruwe	Namayakata/ Barabarani				LGA	Rural	Public
4788	Mtwara DC	Ziwani	Nanguruwe	Namayakata/ Shuleni				LGA	Rural	Public
4789	Mtwara DC	Ziwani	Nanguruwe	Nanguruwe		Nanguruwe	HC	LGA	Rural	Public
4790	Mtwara DC	Ziwani	Ziwani	Minyembe				LGA	Rural	Public
4791	Mtwara DC	Ziwani	Ziwani	Mnawene				LGA	Rural	Public
4792	Mtwara DC	Ziwani	Ziwani	Moma				LGA	Rural	Public
4793	Mtwara DC	Ziwani	Ziwani	Msakala				LGA	Rural	Public
4794	Mtwara DC	Ziwani	Ziwani	Msanga Mkuu		Msangamkuu	Dis	LGA	Rural	Public
4795	Mtwara DC	Ziwani	Ziwani	Nalingu		Nalingu	Dis	LGA	Rural	Public
4796	Mtwara DC	Ziwani	Ziwani	Nambeleketela				LGA	Rural	Public
4797	Mtwara DC	Ziwani	Ziwani	Sinde				LGA	Rural	Public
4798	Mtwara DC	Ziwani	Ziwani	Ziwani		Ziwani	Dis	LGA	Rural	Public
4803	Mtwara MC	Mikindani	Jangwani	Rwelu		Rwelu	Dis	LGA	Urban	Public
4809	Mtwara MC	Mikindani	Magengeni	Magengeni		Mikindani	Dis	LGA	Urban	Public
4825	Mtwara MC	Mtwara Mjini	Chikongola	Muungano		Pilila	Dis	Private	Urban	Private
4832	Mtwara MC	Mtwara Mjini	Chuno	Kiyanga		Huruma	Dis	Private	Urban	Private
4838	Mtwara MC	Mtwara Mjini	Likombe - Mixed Ward	Lilungu		Lilungu	Dis	Prisons	Urban	Public
4841	Mtwara MC	Mtwara Mjini	Likombe - Mixed Ward	Mdenga		Likombe	Dis	LGA	Urban	Public
4843	Mtwara MC	Mtwara Mjini	Likombe - Mixed Ward	Mtawanya		Mtawanya	Dis	LGA	Urban	Public
4847	Mtwara MC	Mtwara Mjini	Majengo	Msikitini		Majengo	Dis	LGA	Urban	Public
4852	Mtwara MC	Mtwara Mjini	Railway	Railway A		Bandari	Dis	Parastatal	Urban	Public
4858	Mtwara MC	Mtwara Mjini	Shangani	Ligula A		Ligula	Hos	MOHSW	Urban	Public
4859	Mtwara MC	Mtwara Mjini	Shangani	Ligula B		Sabato	Dis	Seventh Day Adventists	Urban	Fbo
4860	Mtwara MC	Mtwara Mjini	Shangani	Ligula B		Police	Dis		Urban	TBD
4862	Mtwara MC	Mtwara Mjini	Shangani	Ligula Kati		Sajora	Dis	Private	Urban	Private
4866	Mtwara MC	Mtwara Mjini	Shangani	Maduka Makubwa		Ajira	Dis	Private	Urban	Private
4872	Mtwara MC	Mtwara Mjini	Shangani	Shangani East		Umoja	Dis	LGA	Urban	Public
4873	Mtwara MC	Mtwara Mjini	Shangani	Shangani East		Scholastica	Dis	Roman Catholic	Urban	Fbo
4881	Mtwara MC	Mtwara Mjini	Ufukoni	Magomeni A		Somo	Dis	Private	Urban	Private
4890	Mtwara MC	Mtwara Mjini	Ufukoni	Naliendele		Naliendele	Dis	LGA	Urban	Public
4892	Mtwara MC	Mtwara Mjini	Ufukoni	Ufukoni Stand		Ufukoni	Dis	LGA	Urban	Public
4896	Mtwara MC	Mtwara Mjini	Vigaeni	Soko Kuu		Marie Stopes	Dis	Private	Urban	Private
4897	Mtwara MC	Mtwara Mjini	Vigaeni	Soko Kuu		Soko Kuu	Dis	BAKWATA	Urban	Private
4902	Masasi DC	Chikundi	Mwena	Chikundi		Tumaini	Dis	Roman Catholic	Rural	Fbo
4915	Masasi DC	Chikundi	Chigugu	Mbemba		Mbemba	Dis		Rural	TBD
4916	Masasi DC	Chikundi	Chiwata	Chidya		Chidya	Dis	Anglican	Rural	Fbo
4921	Masasi DC	Chikundi	Nanganga	Nango		Tulizo	Dis	Roman Catholic	Rural	Fbo
4925	Masasi DC	Chikundi	Nanganga	Nanganga		Nanganga	Dis	LGA	Rural	Public
4930	Masasi DC	Chiungutwa	Lipumburu	Utimbe		Utimbe	Dis	LGA	Rural	Public
4932	Masasi DC	Chiungutwa	Chiungutwa	Chiungutwa		Chiungutwa	Dis	LGA	Rural	Public
4937	Masasi DC	Chiungutwa	Chiungutwa	Mpeta				LGA	Rural	Public
4938	Masasi DC	Chiungutwa	Mbuyuni	Mbuyuni		Mbuyuni	Dis	LGA	Rural	Public
4943	Masasi DC	Chiungutwa	Nanjota	Mijelejele		Mijelejele	Dis	LGA	Rural	Public
4947	Masasi DC	Chiungutwa	Nanjota	Nanjota		Nanjota	Dis	Roman Catholic	Rural	Fbo
4948	Masasi DC	Chiungutwa	Nanjota	Nanjota		Lupaso	HC	Roman Catholic	Rural	Fbo
4949	Masasi DC	Lisekese	Lisekese	Nyasa		Memo	Dis	Private	Rural	Private
4950	Masasi DC	Lisekese	Lisekese	Nyasa		Miami	Dis	Private	Rural	Private
4951	Masasi DC	Lisekese	Lisekese	Chikoweti		Nambaya	Dis	Private	Rural	Private
4952	Masasi DC	Lisekese	Lisekese	Makulani		Makulani	Dis	LGA	Rural	Public
4967	Masasi DC	Lisekese	Lukuledi	Chiwale		Chiwale	HC	LGA	Rural	Public
4969	Masasi DC	Lisekese	Lukuledi	Lukuledi		Lukuledi	Dis	Roman Catholic	Rural	Fbo
4970	Masasi DC	Lisekese	Lukuledi	Mihima		Mihima	Dis	LGA	Rural	Public
4975	Masasi DC	Lisekese	Lukuledi	Nanyindwa		Nanyindwa	Dis	LGA	Rural	Public
4977	Masasi DC	Lisekese	Lukuledi	Nasindi		Nasindi	Dis	LGA	Rural	Public
4980	Masasi DC	Lisekese	Marika	Mumbaka		Mumbaka	Dis	LGA	Rural	Public
4984	Masasi DC	Lisekese	Masasi	Jida		Victoria	Dis	Private	Rural	Private
4985	Masasi DC	Lisekese	Masasi	Mkomaindo		Mkomaindo	Hos	LGA	Rural	Public
4986	Masasi DC	Lisekese	Masasi	Mkuti		Mkuti	Dis	LGA	Rural	Public
4991	Masasi DC	Lisekese	Mpindimbi	Chisegu		Chisegu	Dis	LGA	Rural	Public
4993	Masasi DC	Lisekese	Mpindimbi	Kanyimbi		Kanyimbi	Dis	LGA	Rural	Public
4994	Masasi DC	Lisekese	Mpindimbi	Mpindimbi		Mpindimbi	Dis	LGA	Rural	Public
4995	Masasi DC	Lisekese	Mpindimbi	Shaurimoyo		Shaurimoyo	Dis	LGA	Rural	Public
5002	Masasi DC	Lisekese	Namajani	Namajani		Namajani	Dis	LGA	Rural	Public
5004	Masasi DC	Lisekese	Namatutwe	Chingulungulu		Chingulungulu	Dis	Roman Catholic	Rural	Fbo
5013	Masasi DC	Lulindi	Lulindi	Lulindi		Lulindi	Dis	LGA	Rural	Public
5018	Masasi DC	Lulindi	Mkululu -	Mkululu		Mkululu	Dis	LGA	Rural	Public
5022	Masasi DC	Lulindi	Mkundi	Majembe Chini		Majembe	Dis	LGA	Rural	Public
5025	Masasi DC	Lulindi	Mkundi	Namwanga		Namwanga	Dis	LGA	Rural	Public
5027	Masasi DC	Lulindi	Namalenga	Mitesa		Mitesa	Dis	LGA	Rural	Public
5032	Masasi DC	Lulindi	Namalenga	Nagaga		Nagaga	HC	LGA	Rural	Public
5035	Masasi DC	Mchauru	Mchauru	Mchauru		Mchauru	Dis	LGA	Rural	Public
5039	Masasi DC	Mchauru	Mchauru	Namwombwe		Namombwe	Dis	Roman Catholic	Rural	Fbo
5044	Masasi DC	Mchauru	Mnavira	Makong'onda		Makong'onda	Dis	LGA	Rural	Public
5048	Masasi DC	Mchauru	Mnavira	Mnavira		Mnavira	Dis	LGA	Rural	Public
5052	Masasi DC	Mchauru	Sindano	Luatala		Luatala	Dis	Anglican	Rural	Fbo
5053	Masasi DC	Mchauru	Sindano	Sindano		Sindano	Dis	LGA	Rural	Public
5058	Nanyumbu DC	Maratani	Maratani	Maratani		Maratani	Dis	LGA	Rural	Public
5060	Nanyumbu DC	Maratani	Maratani	Mikuva		Mikuva	Dis	LGA	Rural	Public
5068	Nanyumbu DC	Maratani	Mikangaula	Mikangaula		Mikangaula	Dis	LGA	Rural	Public
5077	Nanyumbu DC	Maratani	Nandete	Nandete		Nandete	Dis	LGA	Rural	Public
5081	Nanyumbu DC	Nakopi	Napacho	Mburusa		Mburusa	Dis	LGA	Rural	Public
5083	Nanyumbu DC	Nakopi	Napacho	Nakopi		Nakopi	Dis	LGA	Rural	Public
5085	Nanyumbu DC	Nakopi	Likokona	Likokona		Likokona	Dis	LGA	Rural	Public
5086	Nanyumbu DC	Nakopi	Likokona	Makong'ondera		Makong'ondera	Dis	LGA	Rural	Public
