id,title,region_id,address,serial_number,email,owner,ownership_type,phone,place_type,created_at,updated_at,type_id,msisdn,is_user_submitted,latitude,longitude,alternative_names,status,hmis,remarks,registration_num,source,current_id
19737,Solola,25655,,5305,,LGA,Government,,,2013-01-24 00:34:13.666113+00,2013-01-24 00:34:13.666156+00,16,,f,-8.26651,32.01582,"",Operating,1502079,"",RK/KJ/VC.358,"",1502110
19738,Songambele Azimio,25656,,5306,,LGA,Government,,,2013-01-24 00:34:13.698652+00,2013-01-24 00:34:13.698694+00,16,,f,-8.05479,31.82828,"",Operating,1502080,"",RK/KJ/VC.229,"",1502111
19739,Sopa,25657,,5307,,LGA,Government,,,2013-01-24 00:34:13.733661+00,2013-01-24 00:34:13.733718+00,17,,f,-8.05479,31.5036,"",Operating,1502081,"",RK/KJ/VC.75,"",1502112
19740,Tatanda,25658,,5308,,LGA,Government,,,2013-01-24 00:34:13.768136+00,2013-01-24 00:34:13.768188+00,16,,f,-8.516667,31.5,"",Operating,1502088,"",RK/KJ/VC.,"",1502113
19741,Tentula,25659,,5309,,LGA,Government,,,2013-01-24 00:34:13.801351+00,2013-01-24 00:34:13.801395+00,16,,f,-8.05479,31.90516,"",Operating,1502082,"",RK/KJ/VC.93,"",1502114
19742,Tukuwa,25514,,5310,,"",Government,,,2013-01-24 00:34:13.820582+00,2013-01-24 00:34:13.820625+00,16,,f,,,"",Operating,1502098,"","","",1502115
19743,Tunko,25660,,5311,,LGA,Government,,,2013-01-24 00:34:13.853509+00,2013-01-24 00:34:13.85356+00,16,,f,,,"",Under Construction,1502100,"",RK/KJ/VC.207,"",1502116
19744,Ulumi,25661,,5312,,LGA,Government,,,2013-01-24 00:34:13.88761+00,2013-01-24 00:34:13.887665+00,16,,f,-8.05479,31.72343,"",Operating,1502083,"",RK/KJ/VC.140,"",1502117
19745,Ulumi Mission,25661,,5313,,RC,FBO,,,2013-01-24 00:34:13.917774+00,2013-01-24 00:34:13.917827+00,16,,f,-8.733333,31.733333,"",Operating,1502084,"",RK/KJ/VC.,"",1502118
19746,Uzia,25662,,5314,,LGA,Government,,,2013-01-24 00:34:13.950047+00,2013-01-24 00:34:13.950096+00,16,,f,,,"",Under Construction,1502117,"",RK/KJ/VC.130,"",1502119
19747,Afya Yako,25665,,5373,,Private,Private,,,2013-01-24 00:34:13.984966+00,2013-01-24 00:34:13.985011+00,21,,f,,,"",Operating,1504029,"","","",1504001
19748,ANGAZA-VCT,25514,,5374,,"",Government,,,2013-01-24 00:34:14.003535+00,2013-01-24 00:34:14.003589+00,26,,f,,,"",Operating,Not Allocated,"","","",1504002
19749,Bangwe,25665,,5406,,LGA,Government,,,2013-01-24 00:34:14.03521+00,2013-01-24 00:34:14.035268+00,16,,f,,,"",Under Construction,"","","","",1504040
19750,Chelenganya,25668,,5407,,LGA,Government,,,2013-01-24 00:34:14.070695+00,2013-01-24 00:34:14.070743+00,16,,f,,,"",Under Construction,"","","","",1504041
19751,Chipu,25670,,5375,,LGA,Government,,,2013-01-24 00:34:14.103996+00,2013-01-24 00:34:14.104038+00,16,,f,,,"",Under Construction,Not Allocated,"","","",1504003
