id,title,type_id,parent_region_id,created_at,updated_at
22866,Msaranga,6,22841,2013-01-24 00:29:15.269066+00,2013-01-24 00:29:15.269113+00
22867,Msaranga,5,22866,2013-01-24 00:29:15.276098+00,2013-01-24 00:29:15.276161+00
22868,Mnazi mmoja,5,22866,2013-01-24 00:29:15.528212+00,2013-01-24 00:29:15.528258+00
22869,Kanisani,5,22844,2013-01-24 00:29:15.796976+00,2013-01-24 00:29:15.797026+00
22870,Arabica,5,22860,2013-01-24 00:29:16.037126+00,2013-01-24 00:29:16.037197+00
22871,Njoro,6,22841,2013-01-24 00:29:16.198093+00,2013-01-24 00:29:16.198138+00
22872,Dobi,5,22871,2013-01-24 00:29:16.203883+00,2013-01-24 00:29:16.203929+00
22873,Korongoni,6,22830,2013-01-24 00:29:16.449528+00,2013-01-24 00:29:16.449584+00
22874,Viwanda,5,22873,2013-01-24 00:29:16.454924+00,2013-01-24 00:29:16.454972+00
22875,Rau,6,22830,2013-01-24 00:29:16.702553+00,2013-01-24 00:29:16.702603+00
22876,Sabasaba,5,22875,2013-01-24 00:29:16.708463+00,2013-01-24 00:29:16.708523+00
22877,Boma Mbuzi,5,22844,2013-01-24 00:29:17.399248+00,2013-01-24 00:29:17.399295+00
22878,Karakacha,5,22842,2013-01-24 00:29:18.067288+00,2013-01-24 00:29:18.067335+00
22879,Sabasaba,5,22873,2013-01-24 00:29:18.502987+00,2013-01-24 00:29:18.503034+00
22880,soweto,6,22841,2013-01-24 00:29:18.664332+00,2013-01-24 00:29:18.664388+00
22881,Wireless,5,22873,2013-01-24 00:29:18.967783+00,2013-01-24 00:29:18.96783+00
22882,Mawenzi,5,22839,2013-01-24 00:29:19.188124+00,2013-01-24 00:29:19.188169+00
22883,Shirimatunda,5,22833,2013-01-24 00:29:19.417412+00,2013-01-24 00:29:19.417459+00
22884,Korongoni,5,22873,2013-01-24 00:29:19.942887+00,2013-01-24 00:29:19.942944+00
22885,Matindigani,5,22844,2013-01-24 00:29:20.228071+00,2013-01-24 00:29:20.228117+00
22886,Y.M.CA,5,22842,2013-01-24 00:29:21.024295+00,2013-01-24 00:29:21.024341+00
22887,Katavi,2,17754,2013-01-24 00:29:21.09912+00,2013-01-24 00:29:21.099178+00
22888,Mpanda,3,22887,2013-01-24 00:29:21.178145+00,2013-01-24 00:29:21.178192+00
22889,Kabungu,4,22888,2013-01-24 00:29:21.184078+00,2013-01-24 00:29:21.184124+00
22890,Mishamo,6,22889,2013-01-24 00:29:21.262495+00,2013-01-24 00:29:21.262586+00
22891,Busongola,5,22890,2013-01-24 00:29:21.269395+00,2013-01-24 00:29:21.26944+00
22892,Mpimbwe,4,22888,2013-01-24 00:29:21.506442+00,2013-01-24 00:29:21.506506+00
22893,Mbede,6,22892,2013-01-24 00:29:21.540357+00,2013-01-24 00:29:21.54042+00
22894,Mwamapuli,5,22893,2013-01-24 00:29:21.618908+00,2013-01-24 00:29:21.618976+00
22895,Karema,4,22888,2013-01-24 00:29:21.77299+00,2013-01-24 00:29:21.773059+00
22896,Ikola,6,22895,2013-01-24 00:29:21.854476+00,2013-01-24 00:29:21.854639+00
22897,Ikola,5,22896,2013-01-24 00:29:21.934996+00,2013-01-24 00:29:21.935045+00
22898,Ndurumo,4,22888,2013-01-24 00:29:22.105911+00,2013-01-24 00:29:22.105995+00
22899,Litapunga,6,22898,2013-01-24 00:29:22.183126+00,2013-01-24 00:29:22.183172+00
22900,Ikorongo A,5,22899,2013-01-24 00:29:22.190776+00,2013-01-24 00:29:22.190837+00
22901,Ilangu,5,22890,2013-01-24 00:29:22.429215+00,2013-01-24 00:29:22.42927+00
22902,Inyonga,4,22888,2013-01-24 00:29:22.588235+00,2013-01-24 00:29:22.588282+00
22903,Ilela,6,22902,2013-01-24 00:29:22.667038+00,2013-01-24 00:29:22.667095+00
22904,Ipwaga,5,22903,2013-01-24 00:29:22.673467+00,2013-01-24 00:29:22.673514+00
22905,Inyonga,6,22902,2013-01-24 00:29:22.897451+00,2013-01-24 00:29:22.897497+00
22906,Inyonga,5,22905,2013-01-24 00:29:22.963124+00,2013-01-24 00:29:22.96318+00
22907,Ipwaga,5,22890,2013-01-24 00:29:23.455732+00,2013-01-24 00:29:23.455795+00
22908,Isumbwe,5,22890,2013-01-24 00:29:23.675344+00,2013-01-24 00:29:23.67539+00
